,country,frequency,variable,value_x,value_y,count_percent
220,Slovak Republic,Never or rarely,talkAboutMaths,1308,2995,43.67
221,Slovak Republic,Sometimes,talkAboutMaths,1322,2995,44.14
222,Slovak Republic,Often,talkAboutMaths,270,2995,9.02
223,Slovak Republic,Always or almost always,talkAboutMaths,95,2995,3.17
224,Slovenia,Never or rarely,talkAboutMaths,1352,3737,36.18
225,Slovenia,Sometimes,talkAboutMaths,1487,3737,39.79
226,Slovenia,Often,talkAboutMaths,684,3737,18.3
227,Slovenia,Always or almost always,talkAboutMaths,214,3737,5.73
228,Spain,Never or rarely,talkAboutMaths,8443,16562,50.98
229,Spain,Sometimes,talkAboutMaths,5714,16562,34.5
230,Spain,Often,talkAboutMaths,1843,16562,11.13
231,Spain,Always or almost always,talkAboutMaths,562,16562,3.39
232,Sweden,Never or rarely,talkAboutMaths,1345,3062,43.93
233,Sweden,Sometimes,talkAboutMaths,1214,3062,39.65
234,Sweden,Often,talkAboutMaths,407,3062,13.29
235,Sweden,Always or almost always,talkAboutMaths,96,3062,3.14
236,Switzerland,Never or rarely,talkAboutMaths,2860,7405,38.62
237,Switzerland,Sometimes,talkAboutMaths,3157,7405,42.63
238,Switzerland,Often,talkAboutMaths,1124,7405,15.18
239,Switzerland,Always or almost always,talkAboutMaths,264,7405,3.57
240,Thailand,Never or rarely,talkAboutMaths,230,4405,5.22
241,Thailand,Sometimes,talkAboutMaths,2044,4405,46.4
242,Thailand,Often,talkAboutMaths,1636,4405,37.14
243,Thailand,Always or almost always,talkAboutMaths,495,4405,11.24
244,Tunisia,Never or rarely,talkAboutMaths,434,2785,15.58
245,Tunisia,Sometimes,talkAboutMaths,1036,2785,37.2
246,Tunisia,Often,talkAboutMaths,769,2785,27.61
247,Tunisia,Always or almost always,talkAboutMaths,546,2785,19.61
248,Turkey,Never or rarely,talkAboutMaths,884,3179,27.81
249,Turkey,Sometimes,talkAboutMaths,1457,3179,45.83
250,Turkey,Often,talkAboutMaths,565,3179,17.77
251,Turkey,Always or almost always,talkAboutMaths,273,3179,8.59
252,United Arab Emirates,Never or rarely,talkAboutMaths,1611,7371,21.86
253,United Arab Emirates,Sometimes,talkAboutMaths,2603,7371,35.31
254,United Arab Emirates,Often,talkAboutMaths,2061,7371,27.96
255,United Arab Emirates,Always or almost always,talkAboutMaths,1096,7371,14.87
256,United Kingdom,Never or rarely,talkAboutMaths,4264,8299,51.38
257,United Kingdom,Sometimes,talkAboutMaths,2844,8299,34.27
258,United Kingdom,Often,talkAboutMaths,964,8299,11.62
259,United Kingdom,Always or almost always,talkAboutMaths,227,8299,2.74
260,United States of America,Never or rarely,talkAboutMaths,1508,3213,46.93
261,United States of America,Sometimes,talkAboutMaths,1112,3213,34.61
262,United States of America,Often,talkAboutMaths,462,3213,14.38
263,United States of America,Always or almost always,talkAboutMaths,131,3213,4.08
264,Uruguay,Never or rarely,talkAboutMaths,1219,3364,36.24
265,Uruguay,Sometimes,talkAboutMaths,1159,3364,34.45
266,Uruguay,Often,talkAboutMaths,646,3364,19.2
267,Uruguay,Always or almost always,talkAboutMaths,340,3364,10.11
268,Vietnam,Never or rarely,talkAboutMaths,207,3258,6.35
269,Vietnam,Sometimes,talkAboutMaths,2174,3258,66.73
270,Vietnam,Often,talkAboutMaths,817,3258,25.08
271,Vietnam,Always or almost always,talkAboutMaths,60,3258,1.84
272,Albania,Never or rarely,helpFriendsMaths,289,2602,11.11
273,Albania,Sometimes,helpFriendsMaths,973,2602,37.39
274,Albania,Often,helpFriendsMaths,995,2602,38.24
275,Albania,Always or almost always,helpFriendsMaths,345,2602,13.26
276,Argentina,Never or rarely,helpFriendsMaths,1201,3647,32.93
277,Argentina,Sometimes,helpFriendsMaths,1357,3647,37.21
278,Argentina,Often,helpFriendsMaths,774,3647,21.22
279,Argentina,Always or almost always,helpFriendsMaths,315,3647,8.64
280,Australia,Never or rarely,helpFriendsMaths,2411,9403,25.64
281,Australia,Sometimes,helpFriendsMaths,4262,9403,45.33
282,Australia,Often,helpFriendsMaths,2174,9403,23.12
283,Australia,Always or almost always,helpFriendsMaths,556,9403,5.91
284,Austria,Never or rarely,helpFriendsMaths,866,3102,27.92
285,Austria,Sometimes,helpFriendsMaths,1373,3102,44.26
286,Austria,Often,helpFriendsMaths,681,3102,21.95
287,Austria,Always or almost always,helpFriendsMaths,182,3102,5.87
288,Belgium,Never or rarely,helpFriendsMaths,1550,5438,28.5
289,Belgium,Sometimes,helpFriendsMaths,2645,5438,48.64
290,Belgium,Often,helpFriendsMaths,1017,5438,18.7
291,Belgium,Always or almost always,helpFriendsMaths,226,5438,4.16
292,Brazil,Never or rarely,helpFriendsMaths,2426,12012,20.2
293,Brazil,Sometimes,helpFriendsMaths,4859,12012,40.45
294,Brazil,Often,helpFriendsMaths,3159,12012,26.3
295,Brazil,Always or almost always,helpFriendsMaths,1568,12012,13.05
296,Bulgaria,Never or rarely,helpFriendsMaths,1232,3334,36.95
297,Bulgaria,Sometimes,helpFriendsMaths,1302,3334,39.05
298,Bulgaria,Often,helpFriendsMaths,581,3334,17.43
299,Bulgaria,Always or almost always,helpFriendsMaths,219,3334,6.57
300,Canada,Never or rarely,helpFriendsMaths,3335,14014,23.8
301,Canada,Sometimes,helpFriendsMaths,6274,14014,44.77
302,Canada,Often,helpFriendsMaths,3442,14014,24.56
303,Canada,Always or almost always,helpFriendsMaths,963,14014,6.87
304,Chile,Never or rarely,helpFriendsMaths,1252,4508,27.77
305,Chile,Sometimes,helpFriendsMaths,1833,4508,40.66
306,Chile,Often,helpFriendsMaths,1018,4508,22.58
307,Chile,Always or almost always,helpFriendsMaths,405,4508,8.98
308,China-Shanghai,Never or rarely,helpFriendsMaths,787,3430,22.94
309,China-Shanghai,Sometimes,helpFriendsMaths,1619,3430,47.2
310,China-Shanghai,Often,helpFriendsMaths,819,3430,23.88
311,China-Shanghai,Always or almost always,helpFriendsMaths,205,3430,5.98
312,Chinese Taipei,Never or rarely,helpFriendsMaths,1050,4003,26.23
313,Chinese Taipei,Sometimes,helpFriendsMaths,1725,4003,43.09
314,Chinese Taipei,Often,helpFriendsMaths,951,4003,23.76
315,Chinese Taipei,Always or almost always,helpFriendsMaths,277,4003,6.92
316,Colombia,Never or rarely,helpFriendsMaths,1127,5564,20.26
317,Colombia,Sometimes,helpFriendsMaths,2605,5564,46.82
318,Colombia,Often,helpFriendsMaths,1322,5564,23.76
319,Colombia,Always or almost always,helpFriendsMaths,510,5564,9.17
320,Connecticut (USA),Never or rarely,helpFriendsMaths,239,1114,21.45
321,Connecticut (USA),Sometimes,helpFriendsMaths,511,1114,45.87
322,Connecticut (USA),Often,helpFriendsMaths,292,1114,26.21
323,Connecticut (USA),Always or almost always,helpFriendsMaths,72,1114,6.46
324,Costa Rica,Never or rarely,helpFriendsMaths,549,2874,19.1
325,Costa Rica,Sometimes,helpFriendsMaths,1192,2874,41.48
326,Costa Rica,Often,helpFriendsMaths,764,2874,26.58
327,Costa Rica,Always or almost always,helpFriendsMaths,369,2874,12.84
328,Croatia,Never or rarely,helpFriendsMaths,1055,3311,31.86
329,Croatia,Sometimes,helpFriendsMaths,1533,3311,46.3
330,Croatia,Often,helpFriendsMaths,577,3311,17.43
331,Croatia,Always or almost always,helpFriendsMaths,146,3311,4.41
332,Czech Republic,Never or rarely,helpFriendsMaths,1365,3457,39.49
333,Czech Republic,Sometimes,helpFriendsMaths,1582,3457,45.76
334,Czech Republic,Often,helpFriendsMaths,415,3457,12.0
335,Czech Republic,Always or almost always,helpFriendsMaths,95,3457,2.75
336,Denmark,Never or rarely,helpFriendsMaths,982,4787,20.51
337,Denmark,Sometimes,helpFriendsMaths,2298,4787,48.01
338,Denmark,Often,helpFriendsMaths,1284,4787,26.82
339,Denmark,Always or almost always,helpFriendsMaths,223,4787,4.66
340,Estonia,Never or rarely,helpFriendsMaths,761,3140,24.24
341,Estonia,Sometimes,helpFriendsMaths,1625,3140,51.75
342,Estonia,Often,helpFriendsMaths,656,3140,20.89
343,Estonia,Always or almost always,helpFriendsMaths,98,3140,3.12
344,Finland,Never or rarely,helpFriendsMaths,1764,5745,30.7
345,Finland,Sometimes,helpFriendsMaths,2671,5745,46.49
346,Finland,Often,helpFriendsMaths,1100,5745,19.15
347,Finland,Always or almost always,helpFriendsMaths,210,5745,3.66
348,Florida (USA),Never or rarely,helpFriendsMaths,325,1217,26.71
349,Florida (USA),Sometimes,helpFriendsMaths,525,1217,43.14
350,Florida (USA),Often,helpFriendsMaths,276,1217,22.68
351,Florida (USA),Always or almost always,helpFriendsMaths,91,1217,7.48
352,France,Never or rarely,helpFriendsMaths,1021,2948,34.63
353,France,Sometimes,helpFriendsMaths,1284,2948,43.55
354,France,Often,helpFriendsMaths,518,2948,17.57
355,France,Always or almost always,helpFriendsMaths,125,2948,4.24
356,Germany,Never or rarely,helpFriendsMaths,755,2791,27.05
357,Germany,Sometimes,helpFriendsMaths,1272,2791,45.58
358,Germany,Often,helpFriendsMaths,589,2791,21.1
359,Germany,Always or almost always,helpFriendsMaths,175,2791,6.27
360,Greece,Never or rarely,helpFriendsMaths,1150,3348,34.35
361,Greece,Sometimes,helpFriendsMaths,1198,3348,35.78
362,Greece,Often,helpFriendsMaths,797,3348,23.81
363,Greece,Always or almost always,helpFriendsMaths,203,3348,6.06
364,Hong Kong-China,Never or rarely,helpFriendsMaths,611,3063,19.95
365,Hong Kong-China,Sometimes,helpFriendsMaths,1598,3063,52.17
366,Hong Kong-China,Often,helpFriendsMaths,705,3063,23.02
367,Hong Kong-China,Always or almost always,helpFriendsMaths,149,3063,4.86
368,Hungary,Never or rarely,helpFriendsMaths,824,3165,26.03
369,Hungary,Sometimes,helpFriendsMaths,1599,3165,50.52
370,Hungary,Often,helpFriendsMaths,643,3165,20.32
371,Hungary,Always or almost always,helpFriendsMaths,99,3165,3.13
372,Iceland,Never or rarely,helpFriendsMaths,757,2207,34.3
373,Iceland,Sometimes,helpFriendsMaths,995,2207,45.08
374,Iceland,Often,helpFriendsMaths,370,2207,16.76
375,Iceland,Always or almost always,helpFriendsMaths,85,2207,3.85
376,Indonesia,Never or rarely,helpFriendsMaths,364,3646,9.98
377,Indonesia,Sometimes,helpFriendsMaths,1968,3646,53.98
378,Indonesia,Often,helpFriendsMaths,1087,3646,29.81
379,Indonesia,Always or almost always,helpFriendsMaths,227,3646,6.23
380,Ireland,Never or rarely,helpFriendsMaths,1161,3300,35.18
381,Ireland,Sometimes,helpFriendsMaths,1508,3300,45.7
382,Ireland,Often,helpFriendsMaths,536,3300,16.24
383,Ireland,Always or almost always,helpFriendsMaths,95,3300,2.88
384,Israel,Never or rarely,helpFriendsMaths,521,3158,16.5
385,Israel,Sometimes,helpFriendsMaths,1281,3158,40.56
386,Israel,Often,helpFriendsMaths,1005,3158,31.82
387,Israel,Always or almost always,helpFriendsMaths,351,3158,11.11
388,Italy,Never or rarely,helpFriendsMaths,7187,20476,35.1
389,Italy,Sometimes,helpFriendsMaths,8858,20476,43.26
390,Italy,Often,helpFriendsMaths,3624,20476,17.7
391,Italy,Always or almost always,helpFriendsMaths,807,20476,3.94
392,Japan,Never or rarely,helpFriendsMaths,1543,4156,37.13
393,Japan,Sometimes,helpFriendsMaths,1768,4156,42.54
394,Japan,Often,helpFriendsMaths,685,4156,16.48
395,Japan,Always or almost always,helpFriendsMaths,160,4156,3.85
396,Jordan,Never or rarely,helpFriendsMaths,477,4465,10.68
397,Jordan,Sometimes,helpFriendsMaths,1102,4465,24.68
398,Jordan,Often,helpFriendsMaths,1749,4465,39.17
